/home/johanna/projects/Bastion/projects/Sisyphus/src/train.py:525: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler() if device == "cuda" else None
2026-04-06 03:29:30,267 INFO: step 26000 | train 0.5842 | val 0.7997 | lr 0.000028
2026-04-06 03:29:58,272 INFO: step 26500 | train 0.5911 | val 0.7553 | lr 0.000026
2026-04-06 03:30:26,300 INFO: step 27000 | train 0.6119 | val 0.7772 | lr 0.000025
2026-04-06 03:30:54,335 INFO: step 27500 | train 0.6376 | val 0.7644 | lr 0.000023
2026-04-06 03:31:22,217 INFO: step 28000 | train 0.6218 | val 0.7596 | lr 0.000022
2026-04-06 03:31:50,215 INFO: step 28500 | train 0.6497 | val 0.7606 | lr 0.000021
2026-04-06 03:32:18,096 INFO: step 29000 | train 0.6587 | val 0.7901 | lr 0.000021
2026-04-06 03:32:46,177 INFO: step 29500 | train 0.6061 | val 0.8073 | lr 0.000020
2026-04-06 03:33:14,349 INFO: step 29999 | train 0.5834 | val 0.8217 | lr 0.000020
2026-04-06 03:33:14,367 INFO: Best checkpoint written to /home/johanna/projects/Bastion/projects/Sisyphus/checkpoints/sisyphus.20m.seq512.pt
2026-04-06 03:33:14,372 INFO: Last checkpoint written to /home/johanna/projects/Bastion/projects/Sisyphus/checkpoints/sisyphus.20m.seq512.last.pt
terminate called without an active exception
